id	en	zh
liu2008rotatxt	A rotator selects Pinyin letters or consonant–final pairs and then Chinese candidates, comparing alphabetic and phonetic ordering.	旋钮先选择拼音字母或声韵母组合，再选择汉字候选，研究比较字母序与语音序排列。
wen2008ambiguity	Matching rules and language-model scores resolve continuous Pinyin syllable boundaries before conversion to Chinese words.	通过匹配规则和语言模型分数消解连续拼音的音节边界，再转换为中文词语。
gong2009design	Unicode Extension B characters are retrieved through stroke sequences or radical-and-shape codes.	通过笔画序列或部首与字形组合编码，检索 Unicode 扩展 B 区汉字。
jiang2009artificial	An artificial immune network scores Pinyin-to-Chinese word lattices, combining sequence decoding with error-driven updates.	人工免疫网络对拼音转汉字词格评分，结合序列解码与错误驱动更新。
li2009effect	The number of displayed Chinese candidates is varied during single-character full-Pinyin input, with target readings supplied.	在提供目标读音的单字全拼输入中，改变显示的汉字候选数量。
liu2009chinese	Pinyin generated from already segmented text is converted back to Chinese with word boundaries supplied.	将已分词文本生成的拼音转换回汉字，转换时提供已知词界。
liu2009immediate	Four handheld touchscreen methods are compared during Chinese short-message copying.	通过中文短消息抄录任务，比较四种手持触屏输入方式。
po2009six	Six-digit codes use the first three and last three strokes of a character, with phrase codes, wildcards and candidate pages.	六位编码使用汉字的前三笔及末三笔，并支持词组编码、通配符及候选翻页。
ren2009optimal	Input-box sizes are compared for handwritten Japanese and alphanumeric characters; recognition is performed afterward rather than during entry.	比较日文及字母数字手写的输入框尺寸，识别在输入结束后进行，而非实时执行。
tung2009modified	Phonetic features of characters and selected radicals form hybrid codes intended to reduce collisions in Chinese input.	组合汉字及选定部首的语音特征，形成旨在减少中文输入重码的混合编码。
wei2009applying	Activity and correlation scores guide Chinese word-lattice decoding, while feedback updates correct and erroneous paths.	利用活动度及相关性分数指导中文词格解码，并通过反馈更新正确与错误路径。
wei2009linux	A Linux/MiniGUI engine maps indexed codes to Chinese characters and phrases across Pinyin, shape and stroke schemes.	Linux/MiniGUI 引擎通过索引编码映射汉字及词组，支持拼音、形码和笔画等方案。
yan2009birth	A mobile radical keypad combines spatial grouping, stroke fallback and frequency-ranked Chinese candidates.	手机部件键盘结合空间分组、笔画后备输入及按频率排列的汉字候选。
li2010prompting	Numeric remote-control input retrieves Chinese television-search terms using field-specific dictionaries and full-text search.	数字遥控输入结合字段专用词典与全文检索，获取中文电视搜索词。
liu2010predicting	A model estimates mobile Pinyin entry time using thumb movement and candidate navigation, with prediction enabled or disabled.	模型结合拇指移动及候选导航，估计开启或关闭预测时的手机拼音输入时间。
niu2010stroke	A touchscreen method combines radicals and strokes, allowing unordered components and Chinese character or phrase selection.	触屏输入法结合部件与笔画，允许无序部件输入，并支持汉字或词组选择。
wang2010improvement	Keyboard controls navigate Chinese candidate rows and columns; a second hint area supplies contextual phrases.	键盘控制用于导航汉字候选的行列，另一个提示区域提供上下文词组。
zhou2010hit	A Chinese handwriting corpus records pen trajectories with segmentation, editing gestures and document checking; it does not benchmark recognition output.	中文手写语料记录笔轨迹，并提供分割、编辑手势及文档核查；研究未评测识别输出。
lin2011auxiliary	A known, visually similar Han character retrieves ranked rare glyphs with Unicode details through a shape-similarity lookup service.	输入一个已知且外形相近的汉字，即可通过字形相似检索服务获取排序的生僻字及 Unicode 信息。
liu2011user	User–word relationships and search snippets support related-word retrieval and domain-lexicon expansion, rather than direct conversion evaluation.	用户与词语关系及搜索摘要支持相关词检索和领域词库扩展，研究未直接评估输入转换。
po2011dynamic	Directional gestures select Chinese candidates around a five-stroke touchscreen keypad using first-three/last-three stroke codes.	在五笔画触屏键盘周围，通过方向手势选择采用前三笔与末三笔编码的汉字候选。
sha2011automatic	Entered Chinese queries are mapped back to Pinyin and matched to topic dictionaries for spelling correction and completion.	将已输入的中文查询映射回拼音，再匹配主题词典，进行拼写纠正与补全。
wong2011chinese	Second-language learners compose Chinese using freely chosen Pinyin, handwriting and dictionary tools.	汉语二语学习者自由选择拼音、手写及词典工具进行中文写作。
zheng2011chime	CHIME repairs word-separated Pinyin chunks within a bounded edit distance before decoding Chinese text.	CHIME 在限定编辑距离内修正按词分隔的拼音片段，再解码为中文文本。
zheng2011why	Logs of Pinyin input, committed Chinese and backspaces are analyzed to study input behavior and infer likely correction pairs.	分析拼音输入、已提交汉字及退格日志，以研究输入行为并推断可能的纠错对。
zou2011overlapped	Overlapping Chinese handwriting uses progressive ink fading on a phone, with final text recognized offline.	手机上的重叠中文手写通过逐步淡化墨迹显示，最终文字在离线条件下识别。
liu2012pinyinpie	A leading-letter tap opens a pie menu for Pinyin suffix gestures, feeding an existing Chinese IME.	点击首字母后打开饼状菜单，通过手势选择拼音后缀，再交由现有中文输入法处理。
masui2012enjoying	Pronunciation prefixes retrieve mixed Japanese-word and image candidates; cycling and confirmation insert the selected item.	读音前缀检索由日文词语及图片组成的候选，用户循环浏览并确认插入选定项。
suzuki2012unified	Backspace-derived corrections train a joint model of Pinyin spelling repair and Chinese sequence conversion.	利用退格操作提取的纠错数据，训练联合处理拼音拼写修正与中文序列转换的模型。
wang2012approach	Online Chinese sentence handwriting is jointly segmented and recognized, with user gestures for splitting, merging and candidate correction.	在线中文句子手写联合进行分割与识别，用户可通过手势拆分、合并及修正候选。
wang2012improving	Speech and typed or handwritten Pinyin initials are combined to predict Chinese text, including simulated candidate selection.	结合语音与键入或手写的拼音声母预测中文文本，评估包括模拟候选选择。
yang2012machine	A phrase-based translation model maps aligned Pinyin syllables to Chinese sentences without word reordering.	基于短语的翻译模型将对齐的拼音音节映射为中文句子，不进行词序重排。
zhu2012design	An embedded remote-control IME maps numeric keys to Pinyin and Chinese candidates, with paging and frequency adaptation.	嵌入式遥控输入法将数字键映射至拼音和汉字候选，并支持翻页及词频自适应。
gao2013user	Mobile handwriting input is studied in contacts and messaging tasks containing Chinese, English, numbers and punctuation.	在包含中文、英文、数字及标点的通讯录与短信任务中研究手机手写输入。
jia2013kyss	KySS evaluates the candidate-selection and paging effort of Chinese IMEs, excluding the fixed cost of typing Pinyin.	KySS 评估中文输入法的候选选择及翻页成本，不计入固定的拼音键入成本。
li2013mutual	Mutual information selects lexicon units for Pinyin-to-Chinese decoding, including useful collocations beyond conventional words.	互信息用于选择拼音转汉字的词库单元，其中包括传统词语之外的有效搭配。
liu2013investigating	Children practice traditional Chinese entry through Zhuyin; the study examines practice time and literacy in typing performance.	儿童通过注音练习繁体中文输入，研究考察练习时间及识字能力与打字表现的关系。
petrovi2013metoda	Five-stroke numeric input uses the first four and final strokes, comparing Chinese and Japanese forms and regional stroke orders.	五笔画数字输入采用前四笔与末笔，研究比较中文与日文字形及地区笔顺差异。
po2013radical	A dynamic touchscreen keypad selects a radical and remaining strokes, then uses directional swipes to choose traditional Chinese candidates.	动态触屏键盘选择部首及剩余笔画，再通过方向滑动选择繁体汉字候选。
tan2013china	Children's reading is related to self-reported Pinyin and handwriting exposure; the study does not assign an input-method intervention.	研究考察儿童阅读与自报拼音、手写接触情况的关系，未安排输入法干预。
tu2013optimal	Chinese handwriting is tested across input sizes; unsuccessful recognition requires rewriting until the correct character is obtained.	在不同输入尺寸下测试中文手写，识别失败后需重新书写，直至获得正确汉字。
jia2014joint	A joint graph combines Pinyin segmentation, typo alternatives and Chinese word probabilities to produce ranked conversion candidates.	联合图结合拼音分割、错拼替代项和中文词概率，生成排序的转换候选。
niu2014stroke	Stroke++ combines radicals and strokes with unordered matching, ranked phrases and phrase-boundary controls on a touchscreen.	Stroke++ 在触屏上结合部首、笔画、无序匹配、排序词组及词组边界控制。
sim2014multimodal	Initial handwritten strokes, a spatial layout and optional speech jointly predict Chinese characters and words.	初始手写笔画、空间布局及可选语音共同预测汉字和词语。
yang2014chinese	Previously entered Chinese strings are stored and recombined at shared characters to offer completion paths.	存储已有中文输入，并在共同字符处重新组合，以提供补全路径。
anon2015smart	Toneless Hakka romanization converts to traditional Han text, with prediction, a custom dictionary and spoken output feedback.	无调客语罗马拼音转换为繁体汉字，并提供预测、自定义词典及语音输出反馈。
chen2015neural	An offline neural model revises n-gram probabilities; runtime Chinese conversion still uses a backoff language model and Viterbi decoding.	离线神经模型修订 N 元概率，运行时的中文转换仍采用回退语言模型与 Viterbi 解码。
huang2015input	Machine-translation hypotheses support Pinyin decoding and next-phrase suggestions while a human translator writes Chinese.	在人类译者输入中文时，机器翻译假设辅助拼音解码及后续短语建议。
lin2015investigation	Traditional Chinese Zhuyin entry is compared across physical, touchscreen and combined mobile interfaces.	比较实体键盘、触屏及组合式手机界面上的繁体中文注音输入。
gong2016leveraging	Case-specific dictionaries and Pinyin retrieval suggest Chinese clinical phrases during patient-safety narrative entry.	通过病例专用词典与拼音检索，在患者安全事件叙述输入中推荐中文临床短语。
wu2016study	The study examines layout, color, key states and dimensions of a ten-key Pinyin touchscreen interface.	研究考察十键拼音触屏界面的布局、颜色、按键状态及尺寸。
xiao2016pinyin	Pinyin conversion outputs both a Chinese word and a unique sense identifier; the editor can display its definition.	拼音转换同时输出中文词语及唯一词义标识符，编辑器可显示相应释义。
zhu2016word	Learners write Chinese essays using Pinyin in a word processor or pencil and paper; the study evaluates composition rather than recognition.	学习者通过文字处理器中的拼音输入或纸笔撰写中文作文，研究评估写作而非识别。
chen2017effect	Recognition judgments examine links between Chinese semantics, phonology and Pinyin experience; no text-entry task is performed.	通过识别判断考察汉字语义、语音与拼音经验的联系，研究未执行文字输入任务。
chen2017role	Finger, thumb and stylus input are compared for isolated Chinese handwriting across box positions and display sizes.	比较不同输入框位置及显示尺寸下的手指、拇指和触笔汉字单字手写。
huang2017research	Hakka romanization is converted into traditional Han text on mobile devices; speech synthesis supplies output feedback.	在移动设备上将客语罗马拼音转换为繁体汉字，语音合成提供输出反馈。
huang2017researchb	A Sixian Hakka mobile IME combines toneless conversion, next-word prediction, personal preferences and spoken feedback.	四县客语手机输入法结合无调转换、后续词预测、个人偏好及语音反馈。
huang2018chinese	A neural Pinyin-to-Chinese model uses context to complete text beyond the characters directly represented by the typed prefix.	神经拼音转汉字模型利用上下文，在已输入前缀直接对应的字符之外补全文本。
huang2018moon	Moon IME combines neural Pinyin conversion with customizable associations, follow-up prediction and Chinese-to-English assistance.	Moon IME 结合神经拼音转换、自定义关联、后续预测及中译英辅助。
huang2018research	Hakka romanization or Mandarin Zhuyin produces Hakka text; unavailable glyphs are represented by Pinyin, with spoken feedback.	客语罗马拼音或国语注音生成客语文字，无法显示的字形以拼音表示，并提供语音反馈。
ji2018knowledge	Knowledge-based correction handles mistyped or abbreviated Pinyin to recover intended Chinese character sequences.	基于知识的纠错处理误输入或缩略拼音，以恢复目标汉字序列。
meng2018smart	Sliding traces on an iOS keyboard are sent to a server for Pinyin interpretation and Chinese conversion.	将 iOS 键盘上的滑动轨迹发送至服务器，进行拼音解释与中文转换。
ruan2018comparing	Speech and keyboard entry are compared for short English and Mandarin messages, with keyboard repair available after speech recognition.	比较英文及普通话短消息的语音和键盘输入，语音识别后可通过键盘修正。
tian2018visor	IM-Visor shields sensitive keystrokes from third-party Android IMEs. Its evaluated tasks concern Latin input rather than Han conversion.	IM-Visor 防止第三方 Android 输入法获取敏感按键，评估任务涉及拉丁文字输入，而非汉字转换。
yang2019testime	TestIME compares Chinese input engines during exact transcription of electronic medical records, requiring correction of character differences.	TestIME 在电子病历逐字抄录中比较中文输入引擎，要求修正字符差异。
yao2019enabling	An incremental vocabulary reduces neural decoding cost as Romaji-derived kana is converted into Japanese word-lattice candidates.	将罗马字生成的假名转换为日文词格候选时，通过增量词表降低神经解码开销。
yao2019seeime	A learner-oriented mobile IME displays Pinyin, Chinese characters and English together using a hybrid Pinyin code.	面向学习者的手机输入法采用混合拼音编码，同时显示拼音、汉字及英文。
zhang2019open	An open-vocabulary neural IME learns new Chinese words during simulated Pinyin conversion on news and historical chat data.	开放词表神经输入法在新闻及历史聊天数据的模拟拼音转换中学习新词。
zhang2019smarthandwriting	A smartwatch senses acceleration and rotation while the user writes Chinese characters on paper, producing recognition labels.	用户在纸上书写汉字时，智能手表感知加速度与转动，并产生识别标签。
cao2020evaluation	Chinese and Japanese simulated medical dialogues are dictated into an IME and transcribed into a memo application.	将模拟中文及日文医患对话口述至输入法，再转写到备忘录应用。
ding2020design	Eye-writing signals are used to enter a small set of simplified Chinese characters, with calibration and confirm/cancel operations.	眼写信号用于输入少量简体汉字，系统提供校准及确认、取消操作。
li2020influence	Phone posture, environment and tapping layout are compared during mixed Chinese and English short-message entry with corrections allowed.	在允许纠错的中英文混合短消息输入中，比较手机姿势、环境及点击键盘布局。
liu2020stroke	A stroke-sequence-dependent neural network classifies isolated handwritten Chinese characters; no live candidate or repair interface is tested.	依赖笔画序列的神经网络分类独立手写汉字，未测试实时候选或修正界面。
yang2020subsequent	Deep reinforcement learning recommends words after an entered Chinese context, without evaluating a specific Pinyin or shape-code interface.	深度强化学习根据已输入的中文上下文推荐后续词，未评估特定拼音或形码界面。
zhang2020user	Users rate the appearance of mobile IME skins; the study evaluates visual preference rather than text-entry performance.	用户评价手机输入法皮肤的外观，研究评估视觉偏好，而非文字输入表现。
zhou2020children	Reading and character-judgment tasks examine associations with children's Pinyin typing exposure; typing is not performed during scanning.	通过阅读及汉字判断任务考察儿童拼音输入接触情况的关联，扫描期间未进行打字。
jiang2022adaptive	Representation similarity adapts Pinyin conversion across news, chat, legal and medical domains in simulated sequential domain shifts.	在模拟的连续领域切换中，通过表征相似性使拼音转换适应新闻、聊天、法律和医疗领域。
li2022fast	Spatial and contextual neural features recognize Chinese characters in constructed handwriting sequences derived from existing datasets.	通过空间及上下文神经特征，识别由既有数据集构建的手写序列中的汉字。
tan2022exploring	PinyinGPT adapts Chinese generation to complete or abbreviated Pinyin with context; mixed forms and typo repair are not implemented.	PinyinGPT 使中文生成适应带上下文的全拼或缩写拼音，未实现混合形式及错拼修复。
xiong2022pinyin	Self-attention converts sentence-level Pinyin to Chinese in news and medical domains, evaluated with idealized character edits.	自注意力将新闻及医疗领域的句级拼音转换为中文，并使用理想化字符编辑条件评估。
li2023less	A clinical suggestion tool offers Chinese medical text alongside the existing IME, with separate keys for accepting each source's candidates.	临床建议工具在既有输入法旁提供中文医疗文本，并用不同按键接受各来源的候选。
luo2023internet	Survey measures of internet use and Pinyin proficiency are related to Chinese spelling tests, rather than measured typing speed.	将互联网使用及拼音熟练度的问卷指标与汉字拼写测试联系起来，未实测打字速度。
ding2024generative	GeneInput unifies full, abbreviated and mistyped Pinyin conversion with continuation and rewriting in a generative input framework.	GeneInput 在生成式输入框架中统一全拼、缩写和错拼转换，并支持续写及改写。
guo2024optimization	CN-T9 rearranges a numeric Pinyin keyboard to improve Chinese input layout; product implementation is discussed as future work.	CN-T9 重排数字拼音键盘以改进中文输入布局，产品实现属于后续工作。
knockel2024silent	Network-security testing examines cloud Pinyin traffic in Chinese IMEs, rather than conversion accuracy or typing speed.	网络安全测试考察中文输入法的云拼音通信，而非转换准确率或输入速度。
sun2024exploring	A conditional variational Transformer models multiple Chinese outputs for ambiguous nine-key and twenty-six-key Pinyin input.	条件变分 Transformer 针对九键及二十六键拼音输入的歧义，建模多个可能的中文输出。
chen2025investigating	CATIA uses recent screen context to suggest Chinese intentions and text; users revise, regenerate and insert suggestions into their apps.	CATIA 利用近期屏幕上下文推荐中文意图及文本，用户可修改、重新生成并插入应用。
peng2025enhancing	Pinyin encoders condition GPT-based Chinese conversion on correctly segmented, clean Pinyin, with constrained character decoding.	拼音编码器以正确分词、无错拼的拼音为条件，通过受约束字符解码辅助 GPT 中文转换。
zhang2026tone	Silent lip movements and touchpad tone gestures are fused in VR to generate Mandarin Han text without acoustic speech input.	在 VR 中融合无声唇动与触控板声调手势，生成普通话汉字文本，无需声学语音输入。
