id	ja	ko
huang2004adaptive	圧縮に基づく統計モデルがニュースと物語の拼音漢字変換に適応する。1文字につき1つの読みを仮定する。	압축 기반 통계 모델이 뉴스와 이야기의 병음–한자 변환에 적응하며 글자당 하나의 발음을 가정한다.
xiaolong2004mining	コーパス文脈から学習したラフ集合規則で、分割済みの声調なし拼音を漢字へ変換する。解決できない場合は保留できる。	코퍼스 문맥에서 학습한 러프 집합 규칙으로 분할된 무성조 병음을 한자로 변환하며 미해결 사례는 보류한다.
ge2005online	手書きで漢字または拼音音節を受け付け、拼音と認識すると頻度順の漢字候補を開く。	한자나 병음 음절의 필기를 받아들이며 병음으로 인식되면 빈도순 한자 후보 목록을 연다.
lin2005graphics	中国語の筆画入力に使う図形的なキーラベルを、携帯入力と筆画・キー対応課題で比較する。	모바일 입력과 획–키 대응 과제로 중국어 획 입력용 그래픽 키 라벨을 비교한다.
tsai2005applying	混合単語対の識別器で変換済み中国語文の一部の語を置換し、音韻と分割の曖昧性を解く。	혼합 단어쌍 식별기로 변환된 중국어 문장의 일부 단어를 대체하여 발음 및 분할의 모호성을 해소한다.
tsai2005word	単語対の共起を使い、繁体字入力で声調付き・声調なし音節の曖昧性を解く。	단어쌍 공기를 활용하여 번체 한자 입력에서 성조 유무에 따른 음절의 모호성을 해소한다.
hsu2006spoken	文字の説明を発話して認識を制約し、注音による中国語入力を置換または候補の絞り込みで修正する。	글자 설명을 발화하여 인식을 제약하고 텍스트 대체나 후보 축소로 주음 기반 중국어 입력을 교정한다.
liu2006application	粗くまとめた拼音候補格子を語彙モデルで復号し、文法と意味情報で精密化する。	거칠게 축약한 병음 후보 격자를 어휘 모델로 디코딩한 뒤 문법과 의미 정보로 정교화한다.
tsai2006word	一致する複数音節の単語対から支持得点を計算し、置換候補を順位付けして中国語の音節・単語曖昧性を解く。	일치하는 다음절 단어쌍의 지지 점수로 대체 후보 순위를 매겨 중국어 음절–단어 모호성을 해소한다.
tseng2006chinese	先頭音韻記号だけを使う縮約入力を言語モデルの不確実性で評価する。復号した漢字入力は直接評価しない。	첫 음성 기호만 사용하는 축약 입력을 언어 모델의 불확실성으로 평가한다. 디코딩된 한자 입력은 직접 평가하지 않는다.
wang2006maximum	最大エントロピーモデルが近傍と遠方の音韻文脈を使い、声調なし拼音を1文字ずつ漢字へ変換する。	최대 엔트로피 모델이 근거리와 장거리 발음 문맥을 사용하여 무성조 병음을 한 글자씩 한자로 변환한다.
zhou2006improved	音声仮説と逐次追加する手書き筆画を併用し、各筆画の後に中国語文字候補を並べ替える。	음성 가설과 순차적으로 추가한 필기 획을 함께 사용하여 매 획 뒤 중국어 문자 후보 순위를 조정한다.
lin2007constructing	模擬筆画キーパッドで漢字の構成を試す。予測候補は対話的に選ばず、事後に分析する。	모의 획 키패드로 한자 구성을 시험한다. 예측 후보는 대화형으로 선택하지 않고 사후 분석한다.
liu2007chinese	携帯の拼音句入力で、直接の漢字候補選択と、明示的な拼音曖昧性解消段階を比較する。	모바일 병음 구 입력에서 직접 한자 후보 선택과 명시적인 병음 모호성 해소 단계를 비교한다.
ma2007line	手書き速記を声母・韻母の解釈へ認識する。拼音を介する漢字変換は今後の課題である。	필기 속기를 성모·운모 해석으로 인식한다. 병음을 거쳐 한자로 변환하는 과정은 향후 과제이다.
tung2007key	注音記号を少数のキーへ割り当て、繁体字選択のキー数と曖昧性のバランスを取る。	주음 기호를 적은 수의 키에 배정하여 번체 한자 선택의 키 수와 모호성 간 균형을 맞춘다.
xiao2007exploiting	拼音文脈で品詞を予測し、遷移と出力の得点と組み合わせて中国語文字列を復号する。	병음 문맥으로 품사를 예측하고 전이·방출 점수와 결합하여 중국어 시퀀스를 디코딩한다.
zhou2007segment	区間単位の隠れマルコフモデルが語彙確率と語をまたぐ文字確率を使い、連続拼音を漢字へ変換する。	구간 기반 은닉 마르코프 모델이 어휘 확률과 단어 간 문자 확률을 사용하여 연속 병음을 한자로 변환한다.
jiang2008multimodal	音声・キーパッドの頭文字・単語頻度を融合し、利用者が確定する中国語候補を生成する。	음성·키패드 첫 글자·단어 빈도를 융합하여 사용자가 확정할 중국어 후보를 생성한다.
lin2008novel	単語距離モデルで拼音を変換し、追加キー操作で誤った候補の位置を指定して置換する。	단어 거리 모델로 병음을 변환하고 추가 키 조작으로 잘못된 후보의 위치를 찾아 대체한다.
liu2008rotatxt	回転装置で拼音字母または声母・韻母の対を選び、続いて漢字候補を選ぶ。字母順と音韻順を比較する。	회전 장치로 병음 글자나 성모–운모 쌍을 선택한 뒤 한자 후보를 고르며 알파벳순과 음성순 배열을 비교한다.
wen2008ambiguity	照合規則と言語モデル得点で連続拼音の音節境界を決めてから、中国語単語へ変換する。	매칭 규칙과 언어 모델 점수로 연속 병음의 음절 경계를 정한 뒤 중국어 단어로 변환한다.
gong2009design	筆画列または部首・形状コードからUnicode拡張Bの漢字を検索する。	획 시퀀스나 부수·형태 코드로 유니코드 확장 B 한자를 검색한다.
jiang2009artificial	人工免疫ネットワークが拼音漢字の単語格子を採点し、系列復号と誤りに基づく更新を組み合わせる。	인공 면역 네트워크가 병음–한자 단어 격자에 점수를 부여하고 시퀀스 디코딩과 오류 기반 갱신을 결합한다.
li2009effect	読みを提示した単字の全拼音入力で、表示する漢字候補数を変えて比較する。	목표 발음을 제공한 단일 글자 전체 병음 입력에서 표시되는 한자 후보 수를 바꾸어 비교한다.
liu2009chinese	分割済みの文章から生成した拼音を、単語境界を与えた状態で中国語に戻す。	분할된 텍스트에서 생성한 병음을 단어 경계가 주어진 상태에서 중국어로 되돌린다.
liu2009immediate	中国語の短いメッセージを写す課題で、4種類の携帯タッチ入力方式を比較する。	중국어 짧은 메시지 전사 과제로 네 가지 휴대용 터치 입력 방식을 비교한다.
po2009six	最初の3画と最後の3画から6桁コードを作り、句コード・ワイルドカード・候補ページを備える。	처음 세 획과 마지막 세 획으로 6자리 코드를 만들며 구 코드·와일드카드·후보 페이지를 지원한다.
ren2009optimal	日本語と英数字の手書きで入力枠の大きさを比較する。認識は入力中でなく入力後に行う。	일본어와 영숫자 필기에서 입력 상자 크기를 비교한다. 인식은 입력 중이 아니라 입력 후에 수행한다.
tung2009modified	文字と一部の部首の音韻特徴を組み合わせ、中国語入力のコード衝突を減らす混合コードを作る。	글자와 일부 부수의 음성 특징을 결합하여 중국어 입력의 코드 충돌을 줄이려는 혼합 코드를 만든다.
wei2009applying	活動度と相関の得点で中国語の単語格子を復号し、フィードバックで正誤の経路を更新する。	활성도와 상관 점수로 중국어 단어 격자를 디코딩하고 피드백으로 올바른 경로와 오류 경로를 갱신한다.
wei2009linux	Linux/MiniGUIエンジンが拼音・形状・筆画方式の索引コードを中国語の文字や句に対応させる。	Linux/MiniGUI 엔진이 병음·형태·획 방식의 색인 코드를 중국어 문자와 구에 대응시킨다.
yan2009birth	携帯用部首キーパッドが空間的なグループ分け、筆画入力への切替、頻度順の漢字候補を組み合わせる。	모바일 부수 키패드가 공간적 그룹화, 획 입력 대안, 빈도순 한자 후보를 결합한다.
li2010prompting	数字リモコンから分野別辞書と全文検索を使い、中国語のテレビ検索語を取り出す。	숫자 리모컨에서 분야별 사전과 전문 검색으로 중국어 TV 검색어를 찾는다.
liu2010predicting	親指の移動と候補操作から携帯拼音入力時間を推定し、予測機能の有無を扱う。	엄지 이동과 후보 탐색으로 모바일 병음 입력 시간을 추정하며 예측 기능의 활성·비활성 조건을 다룬다.
niu2010stroke	タッチ入力で部首と筆画を組み合わせ、構成要素の順序を問わず漢字や句を選択できる。	터치 입력에서 부수와 획을 결합하여 구성 요소 순서와 무관하게 한자나 구를 선택한다.
wang2010improvement	キーボードで中国語候補の行・列を移動し、別のヒント領域に文脈に合う句を表示する。	키보드로 중국어 후보의 행과 열을 탐색하며 별도 힌트 영역에 문맥에 맞는 구를 표시한다.
zhou2010hit	中国語手書きコーパスが筆跡、分割、編集ジェスチャー、文書確認を記録する。認識出力の性能評価ではない。	중국어 필기 코퍼스가 펜 궤적·분할·편집 제스처·문서 검사를 기록한다. 인식 출력의 벤치마크는 수행하지 않는다.
lin2011auxiliary	既知の似た漢字を使い、形状類似検索からUnicode情報付きの希少字形を順位付きで取り出す。	알고 있는 유사한 한자를 사용하여 형태 유사도 검색으로 유니코드 정보가 포함된 희귀 글리프 순위를 얻는다.
liu2011user	利用者と語の関係、検索抜粋により関連語検索と分野語彙の拡張を支援する。直接の変換評価ではない。	사용자–단어 관계와 검색 발췌문으로 관련 단어 검색과 분야 어휘 확장을 지원하며 직접적인 변환 평가는 하지 않는다.
po2011dynamic	最初の3画・最後の3画のコードを使い、5筆画タッチキーの周囲の漢字候補を方向ジェスチャーで選ぶ。	처음 세 획·마지막 세 획 코드를 사용하여 5획 터치 키 주변의 한자 후보를 방향 제스처로 선택한다.
sha2011automatic	入力済みの中国語検索語を拼音へ戻し、トピック辞書と照合して綴り修正と補完を行う。	입력된 중국어 검색어를 병음으로 되돌려 주제 사전과 대조하여 철자 교정과 완성을 수행한다.
wong2011chinese	第二言語学習者が拼音・手書き・辞書ツールを自由に選んで中国語の文を作る。	제2언어 학습자가 병음·필기·사전 도구를 자유롭게 선택하여 중국어 글을 작성한다.
zheng2011chime	CHIMEは単語ごとに区切った拼音を一定の編集距離内で修正してから、中国語文字列に復号する。	CHIME은 단어별로 구분된 병음을 제한된 편집 거리 안에서 교정한 뒤 중국어 텍스트로 디코딩한다.
zheng2011why	拼音入力、確定済み漢字、後退削除のログから入力行動を調べ、修正前後の対を推定する。	병음 입력·확정 한자·백스페이스 기록을 분석하여 입력 행동을 연구하고 수정 전후 쌍을 추정한다.
zou2011overlapped	携帯上で重ね書きした中国語のインクを徐々に薄くし、最終文字列はオフラインで認識する。	휴대폰에서 겹쳐 쓴 중국어 잉크를 점차 흐리게 표시하며 최종 텍스트는 오프라인으로 인식한다.
liu2012pinyinpie	先頭字母のタップで円形メニューを開き、後続の拼音をジェスチャーで指定して既存の中国語IMEへ送る。	첫 글자를 탭하면 파이 메뉴가 열리며 후속 병음을 제스처로 지정하여 기존 중국어 IME에 전달한다.
masui2012enjoying	読みの接頭部から日本語単語と画像の混在候補を検索し、巡回と確定で選んだ項目を挿入する。	발음 접두부로 일본어 단어와 이미지의 혼합 후보를 검색하고 순환·확정으로 선택 항목을 삽입한다.
suzuki2012unified	後退削除から得た修正例で、拼音の綴り修正と漢字系列変換の統合モデルを学習する。	백스페이스에서 얻은 교정 사례로 병음 철자 교정과 한자 시퀀스 변환의 결합 모델을 학습한다.
wang2012approach	オンラインの中国語文手書きを分割と認識で共同処理し、ジェスチャーで分割・結合・候補修正を行う。	온라인 중국어 문장 필기를 공동 분할·인식하고 사용자 제스처로 분리·병합·후보 교정을 수행한다.
wang2012improving	音声とキー入力または手書きの拼音頭文字を組み合わせて中国語を予測し、模擬候補選択も扱う。	음성과 타이핑 또는 필기 병음 첫 글자를 결합하여 중국어를 예측하며 모의 후보 선택도 포함한다.
yang2012machine	句に基づく翻訳モデルが、対応付けた拼音音節を語順変更なしで中国語文へ写像する。	구 기반 번역 모델이 정렬된 병음 음절을 어순 변경 없이 중국어 문장으로 변환한다.
zhu2012design	組込みリモコンIMEで数字キーを拼音と漢字候補に対応させ、ページ切替と頻度適応を行う。	임베디드 리모컨 IME가 숫자 키를 병음과 한자 후보에 대응시키며 페이지 전환과 빈도 적응을 지원한다.
gao2013user	連絡先とメッセージの課題で、中国語・英語・数字・句読点が混在する携帯手書き入力を調べる。	연락처와 메시지 과제로 중국어·영어·숫자·문장 부호가 섞인 모바일 필기 입력을 연구한다.
jia2013kyss	KySSは拼音入力の固定コストを除き、中国語IMEの候補選択とページ切替の負担を評価する。	KySS는 병음 타이핑의 고정 비용을 제외하고 중국어 IME의 후보 선택과 페이지 전환 부담을 평가한다.
li2013mutual	相互情報量で拼音漢字復号の語彙単位を選び、通常の単語以外の有用な連語も含める。	상호 정보량으로 병음–한자 디코딩의 어휘 단위를 선택하며 일반 단어 외의 유용한 연어도 포함한다.
liu2013investigating	子どもが注音で繁体字入力を練習し、練習時間と読み書き能力が入力成績にどう関係するかを調べる。	아동이 주음으로 번체 한자 입력을 연습하며 연습 시간과 문해력이 입력 성과에 미치는 관계를 조사한다.
petrovi2013metoda	5種の筆画による数字入力で最初の4画と最終画を使い、中国・日本の字体と地域別筆順を比較する。	5종 획 기반 숫자 입력에 처음 네 획과 마지막 획을 사용하며 중국·일본 글자 형태와 지역별 획순을 비교한다.
po2013radical	動的タッチキーで部首と残りの筆画を選び、方向スワイプで繁体字候補を選択する。	동적 터치 키패드에서 부수와 나머지 획을 고른 뒤 방향 스와이프로 번체 한자 후보를 선택한다.
tan2013china	子どもの読解と自己申告による拼音・手書き経験の関係を調べる。入力方式の介入を割り当てる研究ではない。	아동의 읽기와 자기보고 병음·필기 경험의 관계를 조사하며 입력 방식 중재를 배정한 연구는 아니다.
tu2013optimal	入力サイズを変えて中国語手書きを試す。認識失敗時は正しい文字が得られるまで書き直す。	입력 크기를 바꾸어 중국어 필기를 시험하며 인식에 실패하면 올바른 글자가 나올 때까지 다시 쓴다.
jia2014joint	統合グラフが拼音分割、誤入力の代替、漢字単語確率を組み合わせ、順位付き変換候補を生成する。	결합 그래프가 병음 분할·오타 대안·한자 단어 확률을 통합하여 순위가 매겨진 변환 후보를 생성한다.
niu2014stroke	Stroke++はタッチ面で部首と筆画を組み合わせ、順序なし照合、順位付き句、句境界操作を備える。	Stroke++는 터치면에서 부수와 획을 결합하며 순서 없는 매칭, 순위별 구, 구 경계 제어를 지원한다.
sim2014multimodal	書き始めの筆画、空間配置、任意の音声を併用して漢字と中国語単語を予測する。	초기 필기 획, 공간 배열, 선택적 음성을 함께 사용하여 한자와 중국어 단어를 예측한다.
yang2014chinese	既入力の中国語文字列を保存し、共通文字でつなぎ替えて補完経路を提案する。	이미 입력된 중국어 문자열을 저장하고 공통 글자에서 재결합하여 완성 경로를 제안한다.
anon2015smart	声調なしの客家語ローマ字を繁体字へ変換し、予測・個人辞書・音声フィードバックを備える。	무성조 하카어 로마자를 번체 한자로 변환하며 예측·사용자 사전·음성 피드백을 지원한다.
chen2015neural	オフラインのニューラルモデルでN-gram確率を修正する。実行時の漢字変換はバックオフ言語モデルとViterbi復号を用いる。	오프라인 신경 모델로 N-gram 확률을 수정하며 실행 중 한자 변환에는 백오프 언어 모델과 Viterbi 디코딩을 사용한다.
huang2015input	人間の翻訳者が中国語を書く際に、機械翻訳の仮説で拼音復号と次の句の提案を支援する。	사람 번역가가 중국어를 작성할 때 기계 번역 가설로 병음 디코딩과 다음 구 제안을 지원한다.
lin2015investigation	物理キー・タッチ面・両者の組合せによる携帯画面で、繁体字の注音入力を比較する。	물리 키·터치스크린·결합 모바일 인터페이스에서 번체 한자 주음 입력을 비교한다.
gong2016leveraging	患者安全の叙述入力中に、事例別辞書と拼音検索から中国語の臨床表現を提案する。	환자 안전 서술 입력 중 사례별 사전과 병음 검색으로 중국어 임상 표현을 제안한다.
wu2016study	10キーの拼音タッチ画面について、配置・色・キー状態・寸法を調べる。	10키 병음 터치 인터페이스의 배열·색·키 상태·치수를 연구한다.
xiao2016pinyin	拼音変換が中国語単語と一意の語義IDを同時に出力し、エディターで定義を表示できる。	병음 변환이 중국어 단어와 고유 의미 ID를 함께 출력하며 편집기에서 정의를 표시할 수 있다.
zhu2016word	学習者が拼音ワープロまたは紙と鉛筆で中国語作文を行う。評価対象は認識ではなく作文である。	학습자가 병음 워드프로세서나 종이와 연필로 중국어 작문을 하며 인식 대신 작문을 평가한다.
chen2017effect	認識判断課題で中国語の意味・音韻・拼音経験の関係を調べる。文字入力課題は行わない。	인식 판단 과제로 중국어 의미·음운·병음 경험의 관계를 조사하며 텍스트 입력 과제는 수행하지 않는다.
chen2017role	入力枠位置と画面サイズを変え、中国語単字手書きの指・親指・スタイラス入力を比較する。	입력 상자 위치와 화면 크기를 바꾸며 중국어 단일 문자 필기의 손가락·엄지·스타일러스 입력을 비교한다.
huang2017research	携帯端末で客家語ローマ字を繁体字へ変換し、音声合成で出力のフィードバックを行う。	모바일 기기에서 하카어 로마자를 번체 한자로 변환하며 음성 합성으로 출력 피드백을 제공한다.
huang2017researchb	四県客家語の携帯IMEが声調なし変換、次語予測、個人設定、音声フィードバックを組み合わせる。	쓰셴 하카어 모바일 IME가 무성조 변환·다음 단어 예측·개인 설정·음성 피드백을 결합한다.
huang2018chinese	ニューラル拼音漢字モデルが文脈を使い、入力接頭部で直接指定される文字より先まで補完する。	신경 병음–한자 모델이 문맥으로 입력 접두부가 직접 나타내는 글자 이후의 텍스트까지 완성한다.
huang2018moon	Moon IMEがニューラル拼音変換、設定可能な連想、後続予測、中国語から英語への支援を組み合わせる。	Moon IME가 신경 병음 변환·설정 가능한 연상·후속 예측·중국어–영어 지원을 결합한다.
huang2018research	客家語ローマ字または標準中国語の注音から客家語文を作る。使えない字形は拼音で表し、音声で確認する。	하카어 로마자나 표준 중국어 주음으로 하카어 텍스트를 만든다. 사용할 수 없는 글리프는 병음으로 표시하며 음성 피드백을 제공한다.
ji2018knowledge	知識に基づく修正で誤入力や省略された拼音を扱い、意図された漢字列を復元する。	지식 기반 교정으로 오타나 축약 병음을 처리하여 의도한 한자열을 복원한다.
meng2018smart	iOSキーボード上のスライド軌跡をサーバーへ送り、拼音の解釈と漢字変換を行う。	iOS 키보드의 슬라이딩 궤적을 서버로 보내 병음을 해석하고 한자로 변환한다.
ruan2018comparing	英語と標準中国語の短文で音声入力とキー入力を比較し、音声認識後にキーボードで修正できる。	영어와 표준 중국어의 짧은 메시지에서 음성과 키보드 입력을 비교하며 음성 인식 후 키보드 교정을 허용한다.
tian2018visor	IM-VisorはAndroidの第三者IMEから機密キー入力を保護する。評価課題はラテン文字入力であり漢字変換ではない。	IM-Visor는 Android의 제3자 IME로부터 민감한 키 입력을 보호한다. 평가 과제는 라틴 문자 입력이며 한자 변환이 아니다.
yang2019testime	TestIMEが電子診療記録の正確な転記で中国語入力エンジンを比較し、文字の相違の修正を求める。	TestIME이 전자의무기록의 정확한 전사로 중국어 입력 엔진을 비교하며 문자 차이의 교정을 요구한다.
yao2019enabling	逐次的な語彙制限でニューラル復号のコストを減らし、ローマ字由来の仮名を日本語の語格子候補へ変換する。	점진적 어휘 제한으로 신경 디코딩 비용을 줄이며 로마자에서 나온 가나를 일본어 단어 격자 후보로 변환한다.
yao2019seeime	学習者向け携帯IMEが混合拼音コードを使い、拼音・漢字・英語を一緒に表示する。	학습자용 모바일 IME가 혼합 병음 코드를 사용하여 병음·한자·영어를 함께 표시한다.
zhang2019open	開語彙ニューラルIMEがニュースと過去のチャットを使う模擬拼音変換中に、新しい中国語単語を学習する。	개방 어휘 신경 IME가 뉴스와 과거 채팅 자료의 모의 병음 변환 중 새로운 중국어 단어를 학습한다.
zhang2019smarthandwriting	紙に漢字を書く際の加速度と回転を腕時計で測り、認識ラベルを生成する。	종이에 한자를 쓰는 동안 스마트워치로 가속도와 회전을 감지하여 인식 라벨을 생성한다.
cao2020evaluation	中国語と日本語の模擬診療会話をIMEへ口述し、メモアプリに転記する。	중국어와 일본어의 모의 진료 대화를 IME에 구술하여 메모 앱에 전사한다.
ding2020design	眼書き信号から少数の簡体字を入力し、校正と確定・取り消し操作を備える。	눈으로 쓰는 신호로 소수의 간체 한자를 입력하며 보정과 확인·취소를 지원한다.
li2020influence	修正可能な中英混在短文の入力で、携帯の持ち方・環境・タップ配列を比較する。	교정을 허용한 중국어·영어 혼합 짧은 메시지 입력에서 휴대폰 자세·환경·탭 배열을 비교한다.
liu2020stroke	筆順依存のニューラルネットワークで手書き単字を分類する。実時間の候補や修正画面は試さない。	획 순서 의존 신경망으로 고립된 필기 한자를 분류하며 실시간 후보나 교정 인터페이스는 시험하지 않는다.
yang2020subsequent	入力済みの中国語文脈から深層強化学習で語を推薦する。特定の拼音・形状コード画面は評価しない。	입력된 중국어 문맥 뒤에 심층 강화학습으로 단어를 추천하며 특정 병음·형태 코드 인터페이스는 평가하지 않는다.
zhang2020user	携帯IMEのスキンの外観を利用者が評価する。文字入力性能ではなく視覚的な好みを扱う。	사용자가 모바일 IME 스킨의 외관을 평가하며 문자 입력 성능 대신 시각적 선호를 다룬다.
zhou2020children	読解と文字判断から子どもの拼音入力経験との関連を調べる。スキャン中はタイピングしない。	읽기와 문자 판단 과제로 아동의 병음 입력 경험과의 관계를 조사하며 스캔 중에는 타이핑하지 않는다.
jiang2022adaptive	表現類似度によりニュース・チャット・法律・医療の拼音変換を適応させ、模擬的な分野の逐次変化で評価する。	표현 유사도로 뉴스·채팅·법률·의료의 병음 변환을 적응시키고 모의 순차적 분야 전환에서 평가한다.
li2022fast	既存データセットから構成した手書き列で、空間・文脈のニューラル特徴を用いて漢字を認識する。	기존 데이터셋으로 구성한 필기 시퀀스에서 공간·문맥 신경 특징을 사용하여 한자를 인식한다.
tan2022exploring	PinyinGPTが文脈付きの全拼音または省略拼音へ中国語生成を適応させる。混合形式と誤入力修正は未実装である。	PinyinGPT가 문맥이 있는 전체 또는 축약 병음에 중국어 생성을 적응시킨다. 혼합 형태와 오타 교정은 구현되지 않았다.
xiong2022pinyin	自己注意で文単位の拼音をニュース・医療分野の中国語へ変換し、理想化した文字編集で評価する。	자기 주의로 문장 단위 병음을 뉴스·의료 분야 중국어로 변환하며 이상화된 문자 편집으로 평가한다.
li2023less	臨床提案ツールが既存IMEと並んで中国語医療文を提案し、それぞれの候補を別のキーで受け入れる。	임상 제안 도구가 기존 IME와 함께 중국어 의료 텍스트를 제안하며 각 출처의 후보를 서로 다른 키로 수락한다.
luo2023internet	インターネット利用と拼音習熟の質問紙指標を中国語の綴り課題と関連付ける。実測入力速度は扱わない。	인터넷 사용과 병음 숙련도 설문 지표를 중국어 철자 검사와 연결하며 실제 타이핑 속도는 측정하지 않는다.
ding2024generative	GeneInputが全拼音・省略・誤入力の変換と文章継続・書換えを生成型入力の枠組みに統合する。	GeneInput이 전체·축약·오타 병음 변환과 이어 쓰기·재작성을 생성형 입력 체계에 통합한다.
guo2024optimization	CN-T9が数字拼音キーボードを再配置して中国語入力の配列を改善する。製品実装は今後の課題である。	CN-T9가 숫자 병음 키보드를 재배열하여 중국어 입력 배열을 개선한다. 제품 구현은 향후 과제로 논의한다.
knockel2024silent	ネットワークセキュリティ検査で中国語IMEのクラウド拼音通信を調べる。変換精度や入力速度の評価ではない。	네트워크 보안 시험으로 중국어 IME의 클라우드 병음 트래픽을 조사하며 변환 정확도나 타이핑 속도를 평가하지 않는다.
sun2024exploring	条件付き変分Transformerが、曖昧な9キー・26キー拼音入力に対する複数の中国語出力をモデル化する。	조건부 변분 Transformer가 모호한 9키·26키 병음 입력에 대한 여러 중국어 출력을 모델링한다.
chen2025investigating	CATIAが直近の画面文脈から中国語の意図と文を提案し、利用者が修正・再生成してアプリへ挿入する。	CATIA가 최근 화면 문맥으로 중국어 의도와 텍스트를 제안하며 사용자가 수정·재생성하여 앱에 삽입한다.
peng2025enhancing	拼音エンコーダーが正しく分割された誤りのない拼音でGPT漢字変換を条件付け、文字復号を制約する。	병음 인코더가 올바르게 분할된 오류 없는 병음으로 GPT 한자 변환을 조건화하며 문자 디코딩을 제약한다.
zhang2026tone	VRで無音の唇運動とタッチパッドの声調ジェスチャーを融合し、音声入力なしで標準中国語の漢字列を生成する。	VR에서 무음 입술 움직임과 터치패드 성조 제스처를 융합하여 음향 음성 입력 없이 표준 중국어 한자 텍스트를 생성한다.
